Months,Censoring Indicator,Count
29,Fail,1
30,Fail,3
31,Fail,2
32,Fail,2
35,Fail,2
36,Fail,1
37,Fail,3
1,Right,43981
2,Right,43872
3,Right,43909
4,Right,44140
5,Right,44016
6,Right,44014
7,Right,44041
8,Right,43949
9,Right,44146
10,Right,43963
11,Right,44155
12,Right,44099
13,Right,43829
14,Right,44070
15,Right,43862
16,Right,44132
17,Right,44056
18,Right,44026
19,Right,44035
20,Right,44012
21,Right,44153
22,Right,44123
23,Right,43989
24,Right,44047
25,Right,44047
26,Right,44020
27,Right,44149
28,Right,44119
29,Right,43825
30,Right,44002
31,Right,44012
32,Right,43752
33,Right,43818
34,Right,43984
35,Right,43980
36,Right,44116
37,Right,3123
38,Right,2467
39,Right,1034
40,Right,502
